id_car,categorie,sous_categorie,nom_francais,description_darija,description_arabe,mots_cles_fr,codes_obd,niveau_gravite,action_recommandee,source,repair_cost_dzd,urgency
44,transmission,transmission,Manual Gearbox Oil Leak,zit ta7at tomobile|el tros yt7nu|el tros ma ydkhlouch|rihet 7arqa ki tsi,زيت تحت السيارة ، طحن التروس ، صعوبة تغيير السرعة ، رائحة احتراق عند القيادة. الأسباب المحتملة: output shaft seal worn + input shaft seal failed + gearbox gasket leak + drain plug loose.,huile sous voiture|grincement vitesse|changement difficile|odeur brûlé en roulant|Manual Gearbox Oil Leak,P0730,متوسط,إصلاح تسرب زيت علبة السرعة اليدوية,diagcar_2026_complete,5000-20000,moderate
45,transmission,transmission,Differential Failure,sout f el arriere|rdua ki tdur|sout 7did fi les virages|zit ynzel men derriere,صوت طنين ، اهتزاز عند الدوران ، طحن في المنعطفات ، تسرب خلفي. الأسباب المحتملة: differential gear worn + differential bearing failed + ring and pinion gear damaged + limited slip clutch worn.,bourdonnement|vibration en virage|grincement en tournant|fuite fluide arrière|Differential Failure,C0300,عالي,إصلاح أو تغيير الدبوس,diagcar_2026_complete,20000-90000,urgent
46,freinage,brakes,Brake Caliper Seized,tomobile tnjerf|el frana ma yt7arrakch|el frana ma ykhdemch mlih|la roue 7anna,السيارة تنجرف لجهة ، عرقلة الفرامل ، تآكل غير متساوٍ ، ارتفاع حرارة العجل. الأسباب المحتملة: caliper piston seized + caliper slide pin corroded + brake hose collapsed internally + brake fluid moisture.,voiture tire d'un côté|frein qui traîne|usure freins inégale|roue surchauffe|Brake Caliper Seized,C0060,عالي,تنظيف أو تغيير مشبك الفرامل,diagcar_2026_complete,5000-20000,urgent
47,freinage,brakes,Brake Master Cylinder Failure,el frana yerwa7 lel arD|el frana rayeg|maaya el frana ynzel|ma fi frana khlasn,دواسة الفرامل تصل للأرض ، دواسة إسفنجية ، فقدان سائل الفرامل ، لا قدرة على الفرملة. الأسباب المحتملة: master cylinder bore worn + seal failed + internal bypass + brake fluid contaminated.,pédale va au plancher|pédale spongieuse|perte liquide frein|plus de freinage|Brake Master Cylinder Failure,C0241,حرج,تغيير أسطوانة الفرامل الرئيسية فوراً,diagcar_2026_complete,8000-28000,immediate
48,freinage,brakes,Brake Disc Warped,el volant yrdua ki tferni|el frana yNBuD|rdua f la grande vitesse|el frana meshi mlih,اهتزاز المقود عند الفرملة ، نبض دواسة الفرامل ، اهتزاز بالسرعة العالية ، فرملة سيئة. الأسباب المحتملة: disc overheated and warped + uneven pad deposits + disc too thin + improper torque on wheel bolts.,volant tremble au freinage|pédale qui pulse|vibration grande vitesse|mauvais freinage|Brake Disc Warped,C0044,متوسط,تغيير أقراص الفرامل,diagcar_2026_complete,6000-22000,moderate
49,freinage,brakes,Brake Booster Failure,el frana qasi|ma fi musa3ada f el frana|sout soufla ki tferni|lazem tdgat bezaf,دواسة فرامل صلبة ، ضعف مساعد الفرملة ، صفير عند الفرملة ، مجهود كبير. الأسباب المحتملة: vacuum booster failed + check valve failed + vacuum leak + booster diaphragm torn.,pédale dure|mauvaise assistance freinage|sifflement freinage|grand effort nécessaire|Brake Booster Failure,C0083,عالي,تغيير معزز الفرامل وفحص الفراغ,diagcar_2026_complete,8000-30000,urgent
50,refroidissement,cooling,Water Pump Failure,el ma7raka 7anna|maya tnzel men el qdam|sout la pompe|le chauffage ma ykhdemch,ارتفاع الحرارة ، تسرب سائل من الأمام ، صوت طنين المضخة ، عدم عمل التدفئة. الأسباب المحتملة: impeller corroded + shaft bearing worn + water pump seal failed + belt driven pump + electric pump motor failed.,surchauffe|fuite liquide avant|bruit pompe|chauffage ne fonctionne pas|Water Pump Failure,P0218,حرج,تغيير مضخة الماء فوراً,diagcar_2026_complete,12000-40000,immediate
51,refroidissement,cooling,Thermostat Stuck Closed,el ma7raka 7anna bi sraa|el ma7raka tla3 ahoma|el maya teghliy|dkhane men el kapo,ارتفاع سريع للحرارة ، ارتفاع مقياس الحرارة ، غليان السائل ، بخار من الغطاء. الأسباب المحتملة: thermostat stuck closed + thermostat housing warped + improper thermostat rating + coolant contaminated.,surchauffe rapide|jauge température monte|liquide bout|vapeur du capot|Thermostat Stuck Closed,P0128,عالي,تغيير الترموستات,diagcar_2026_complete,3000-12000,urgent
52,refroidissement,cooling,Thermostat Stuck Open,el moteur ma ydafiach|le chauffage bardouch|bezaf lessance|el 7arara wahda,تأخر دفء المحرك ، التدفئة تعمل بالهواء البارد ، استهلاك سيء ، حرارة منخفضة. الأسباب المحتملة: thermostat stuck open + thermostat spring broken + improper thermostat installed.,moteur lent à chauffer|chauffage froid|mauvaise consommation|température basse|Thermostat Stuck Open,P0128,متوسط,تغيير الترموستات المعطل,diagcar_2026_complete,2500-10000,moderate
53,refroidissement,cooling,Coolant Leak from Hose,maya ta7at tomobile|el ma7raka 7anna|daw el maya|riha 7elwa,بركة سائل تحت السيارة ، ارتفاع الحرارة ، تحذير انخفاض السائل ، رائحة حلوة. الأسباب المحتملة: radiator hose cracked + clamp loose + hose fitting corroded + freeze plug failed.,flaque sous voiture|surchauffe|niveau liquide bas|odeur sucrée|Coolant Leak from Hose,P0217,عالي,تغيير خرطوم الراديتير والمشبك,diagcar_2026_complete,2000-8000,urgent
54,refroidissement,cooling,Radiator Fan Failure,el ma7raka 7anna ki twaqef|la clim ma tbardach|el ventilateur ma ydurach|el ventilateur ydur tout le temps,ارتفاع الحرارة عند الوقوف ، ضعف التكييف ، المروحة لا تدور ، المروحة تعمل باستمرار. الأسباب المحتملة: fan motor failed + fan relay failed + fan resistor failed + temperature switch failed + fan blade broken.,surchauffe au ralenti|clim mal refroidie|ventilateur ne tourne pas|ventilateur tourne en permanence|Radiator Fan Failure,P0480,عالي,تغيير مروحة الراديتير أو المحرك الكهربائي,diagcar_2026_complete,5000-20000,urgent
