id,text,label,severity,obd_code,language
24,EGR Valve Failure el wakfa meshi mlih el moteur ydoq daw el moteur bezaf dkhane خمول خشن ، دق في المحرك ، ضوء المحرك ، زيادة الانبعاثات. الأسباب المحتملة: EGR valve stuck closed + EGR valve stuck open + EGR passages clogged + EGR sensor failed. ralenti rugueux claquement moteur voyant allumé émissions augmentées EGR Valve Failure P0401,moteur,متوسط,P0401,mixed_ar_fr_dz
25,Brake Pad Worn Out sout srakh f la frana sout 7did rdua ki tferni el frana ma khdemach mlih صوت صرير ، صوت احتكاك معدن ، اهتزاز عند الفرملة ، ضعف قدرة الفرملة. الأسباب المحتملة: brake pads completely worn + brake dust cover removed + indicator squealer worn + improper pad material. bruit de crissement grincement métallique vibration au freinage freinage moins efficace Brake Pad Worn Out C0110,freinage,عالي,C0110,mixed_ar_fr_dz
26,Throttle Body Failure el moteur yet3ater el wakfa meshi mlih ma tet7araknach tomobile twaqfet تردد المحرك ، خمول غير منتظم ، تسارع ضعيف ، توقف مفاجئ. الأسباب المحتملة: throttle body dirty + throttle position sensor failed + throttle actuator failed + carbon buildup. hésitation moteur ralenti instable mauvaise accélération calage Throttle Body Failure P0120,moteur,متوسط,P0120,mixed_ar_fr_dz
27,Camshaft Position Sensor Failure ma tebdach el moteur twaqef ma ykhdemch mlih mushkila f tawkit عدم الاشتغال ، توقف المحرك ، اضطراب التشغيل ، مشاكل التوقيت. الأسباب المحتملة: camshaft sensor failed + reluctor ring damaged + wiring issue + oil contamination on sensor. ne démarre pas calage mauvais fonctionnement problèmes calage distribution Camshaft Position Sensor Failure P0340,moteur,عالي,P0340,mixed_ar_fr_dz
28,Crankshaft Position Sensor Failure el moteur ma yebdach twaqef merra merra el ishra3 ma ykhdemch ma fi chrar المحرك لا يشتغل ، توقف متقطع ، فشل الاشتعال ، لا شرارة. الأسباب المحتملة: crankshaft sensor failed + tone wheel damaged + wiring shorted + sensor gap incorrect. moteur ne démarre pas calage intermittent ratés pas d'étincelle Crankshaft Position Sensor Failure P0335,moteur,حرج,P0335,mixed_ar_fr_dz
29,Intake Manifold Gasket Leak sout f el moteur el wakfa meshi mlih el mazaj rqiq el ma7raka 7anna صوت تسرب فراغ ، خمول خشن ، خليط رفيع ، ارتفاع الحرارة. الأسباب المحتملة: intake gasket worn + manifold cracked + bolt loose + heat damage. bruit de fuite vide ralenti rugueux mélange pauvre surchauffe Intake Manifold Gasket Leak P0171,moteur,متوسط,P0171,mixed_ar_fr_dz
30,Valve Cover Gasket Leak rihet zit 7areq zit 3la les bougies zit 3la el moteur el wakfa meshi mlih رائحة حرق زيت ، زيت على الشمعات ، بركة زيت على المحرك ، خمول خشن. الأسباب المحتملة: valve cover gasket worn + pcv valve clogged + overtightened bolts + heat damage. odeur huile brûlée huile sur bougies flaque huile moteur ralenti rugueux Valve Cover Gasket Leak P0301,moteur,متوسط,P0301,mixed_ar_fr_dz
31,PCV Valve Failure zit ykhlas bi sraa wissekh f el moteur el wakfa meshi mlih zit ynzel استهلاك عالي للزيت ، طمي في المحرك ، خمول غير منتظم ، تسرب زيت. الأسباب المحتملة: PCV valve stuck closed + hose cracked + valve clogged with sludge. consommation huile élevée boue moteur ralenti instable fuites huile PCV Valve Failure P052E,moteur,منخفض,P052E,mixed_ar_fr_dz
32,Knock Sensor Failure el moteur ydoq el moteur ma ykhdemch mlih khatar el ma7raka daw el moteur دق في المحرك ، أداء ضعيف ، خطر ارتفاع الحرارة ، ضوء المحرك. الأسباب المحتملة: knock sensor failed + wiring issue + carbon buildup + incorrect fuel octane. cliquetis moteur performances réduites risque surchauffe voyant allumé Knock Sensor Failure P0325,moteur,متوسط,P0325,mixed_ar_fr_dz
33,Coolant Temperature Sensor Failure dkhane khal el ma7raka 7anna bla ma norfou bezaf lessance ma tebdach ki tkoun barida دخان أسود ، عدم اكتشاف ارتفاع الحرارة ، استهلاك عالي ، صعوبة البدء البارد. الأسباب المحتملة: coolant temperature sensor failed + wiring corroded + coolant contaminated + sensor gap. fumée noire surchauffe non détectée surconsommation démarrage froid difficile Coolant Temperature Sensor Failure P0115,moteur,متوسط,P0115,mixed_ar_fr_dz
34,Fuel Cap Missing or Loose daw el moteur rihet lessance lessance yetbakhar mushkila EVAP ضوء المحرك ، رائحة وقود ، تبخر الوقود ، خطأ نظام EVAP. الأسباب المحتملة: fuel cap loose + fuel cap seal worn + fuel cap missing + EVAP line cracked. voyant moteur odeur essence évaporation carburant erreur système EVAP Fuel Cap Missing or Loose P0457,carburant,منخفض,P0457,mixed_ar_fr_dz
35,EVAP System Leak rihet lessance f tomobile daw el moteur control ma3adch yn7 lessance ykhlas رائحة وقود داخل السيارة ، ضوء المحرك ، فشل اختبار الانبعاثات ، استهلاك سيء. الأسباب المحتملة: EVAP canister cracked + purge valve failed + vent valve stuck + hose disconnected. odeur essence habitacle voyant moteur contrôle raté mauvaise conso EVAP System Leak P0442,carburant,منخفض,P0442,mixed_ar_fr_dz
36,Fuel Pressure Regulator Failure dkhane khal rihet lessance f l'echappement ma tebdach mlih lessance bezaf دخان أسود ، رائحة وقود في العادم ، صعوبة الاشتغال ، فيضان الوقود. الأسباب المحتملة: pressure regulator diaphragm torn + regulator stuck open + regulator stuck closed + spring failed. fumée noire odeur essence échappement démarrage difficile noyage Fuel Pressure Regulator Failure P0089,carburant,عالي,P0089,mixed_ar_fr_dz
37,Diesel Glow Plug Failure ma tebdach ki tkoun barida dkhane abyad ki tebda el wakfa meshi ki barda daw el moteur صعوبة البدء البارد ، دخان أبيض عند البدء ، خمول خشن عند البرودة ، ضوء المحرك. الأسباب المحتملة: glow plug burned out + glow plug relay failed + glow plug timer module failed + wiring issue. démarrage froid difficile fumée blanche démarrage ralenti rugueux au froid voyant allumé Diesel Glow Plug Failure P0380,carburant,متوسط,P0380,mixed_ar_fr_dz
38,Ignition Coil Failure el ishra3 ma ykhdemch el moteur ma ykhdemch mlih khsara f el qowa daw el moteur yrqas فشل الاشتعال ، اضطراب التشغيل ، فقدان القوة ، وميض ضوء المحرك. الأسباب المحتملة: ignition coil burned + coil boots cracked + spark plug gap wrong + moisture in coil. raté d'allumage mauvais fonctionnement perte de puissance voyant clignotant Ignition Coil Failure P0351,électricité,عالي,P0351,mixed_ar_fr_dz
39,Fuse Box Failure bezaf mushkilat el kahrabiya el anwar ma ykhdemoch kol 7aja twaqfet el fusibles yehtrqo أعطال كهربائية متعددة ، الإضاءة لا تعمل ، الإكسسوارات متوقفة ، احتراق مستمر للمصهرات. الأسباب المحتملة: fuse box corrosion + water damage + overload + rodent damage to wiring. pannes électriques multiples lumières ne fonctionnent pas accessoires morts fusibles qui sautent Fuse Box Failure B2799,électricité,متوسط,B2799,mixed_ar_fr_dz
40,ECU/ECM Failure tomobile ma tebdach bezaf codes el scanner ma ykhdemch kol 7aja ma tkhdemch السيارة لا تشتغل ، أكواد أعطال متعددة ، لا اتصال مع الماسح ، فشل جميع الأنظمة. الأسباب المحتملة: ECU water damage + ECU overheating + software corruption + power surge + short circuit. voiture ne démarre pas codes pannes multiples pas de communication scanner tous systèmes en panne ECU/ECM Failure P0600,électricité,حرج,P0600,mixed_ar_fr_dz
41,Wiring Harness Damage mushkilat kahrabiya merra merra les voyants yedwro court-circuit rihet 7arqa أعطال كهربائية متقطعة ، إضاءة تحذير عشوائية ، دوائر قصيرة ، رائحة احتراق. الأسباب المحتملة: rodent damage + heat damage + rubbing on metal + accident damage + improper repair. pannes électriques intermittentes voyants aléatoires courts-circuits odeur de brûlé Wiring Harness Damage U0100,électricité,عالي,U0100,mixed_ar_fr_dz
42,Automatic Transmission Fluid Leak liquide 7mar ta7at tomobile la boite tnzelag la boite 7anna tros ma ydkhlouch bi sraa سائل أحمر تحت السيارة ، انزلاق ناقل الحركة ، ارتفاع حرارة الناقل ، تأخر الدخول. الأسباب المحتملة: transmission pan gasket leak + cooler line fitting loose + torque converter seal + output shaft seal. fluide rouge sous voiture boîte qui patine boîte surchauffe engagement retardé Automatic Transmission Fluid Leak P0868,transmission,عالي,P0868,mixed_ar_fr_dz
43,Torque Converter Failure rja3 f la vitesse khsara f el qowa el ma7raka 7anna el boite ma tkhdemch ارتجاف بسرعة الطريق السريع ، فقدان القدرة ، ارتفاع الحرارة ، مشكلة القفل. الأسباب المحتملة: converter clutch worn + needle bearing failed + converter fluid contaminated + lockup solenoid failed. tremblement à vitesse autoroute perte puissance surchauffe problème verrouillage Torque Converter Failure P0741,transmission,عالي,P0741,mixed_ar_fr_dz
44,Manual Gearbox Oil Leak zit ta7at tomobile el tros yt7nu el tros ma ydkhlouch rihet 7arqa ki tsi زيت تحت السيارة ، طحن التروس ، صعوبة تغيير السرعة ، رائحة احتراق عند القيادة. الأسباب المحتملة: output shaft seal worn + input shaft seal failed + gearbox gasket leak + drain plug loose. huile sous voiture grincement vitesse changement difficile odeur brûlé en roulant Manual Gearbox Oil Leak P0730,transmission,متوسط,P0730,mixed_ar_fr_dz
45,Differential Failure sout f el arriere rdua ki tdur sout 7did fi les virages zit ynzel men derriere صوت طنين ، اهتزاز عند الدوران ، طحن في المنعطفات ، تسرب خلفي. الأسباب المحتملة: differential gear worn + differential bearing failed + ring and pinion gear damaged + limited slip clutch worn. bourdonnement vibration en virage grincement en tournant fuite fluide arrière Differential Failure C0300,transmission,عالي,C0300,mixed_ar_fr_dz
46,Brake Caliper Seized tomobile tnjerf el frana ma yt7arrakch el frana ma ykhdemch mlih la roue 7anna السيارة تنجرف لجهة ، عرقلة الفرامل ، تآكل غير متساوٍ ، ارتفاع حرارة العجل. الأسباب المحتملة: caliper piston seized + caliper slide pin corroded + brake hose collapsed internally + brake fluid moisture. voiture tire d'un côté frein qui traîne usure freins inégale roue surchauffe Brake Caliper Seized C0060,freinage,عالي,C0060,mixed_ar_fr_dz
47,Brake Master Cylinder Failure el frana yerwa7 lel arD el frana rayeg maaya el frana ynzel ma fi frana khlasn دواسة الفرامل تصل للأرض ، دواسة إسفنجية ، فقدان سائل الفرامل ، لا قدرة على الفرملة. الأسباب المحتملة: master cylinder bore worn + seal failed + internal bypass + brake fluid contaminated. pédale va au plancher pédale spongieuse perte liquide frein plus de freinage Brake Master Cylinder Failure C0241,freinage,حرج,C0241,mixed_ar_fr_dz
48,Brake Disc Warped el volant yrdua ki tferni el frana yNBuD rdua f la grande vitesse el frana meshi mlih اهتزاز المقود عند الفرملة ، نبض دواسة الفرامل ، اهتزاز بالسرعة العالية ، فرملة سيئة. الأسباب المحتملة: disc overheated and warped + uneven pad deposits + disc too thin + improper torque on wheel bolts. volant tremble au freinage pédale qui pulse vibration grande vitesse mauvais freinage Brake Disc Warped C0044,freinage,متوسط,C0044,mixed_ar_fr_dz
49,Brake Booster Failure el frana qasi ma fi musa3ada f el frana sout soufla ki tferni lazem tdgat bezaf دواسة فرامل صلبة ، ضعف مساعد الفرملة ، صفير عند الفرملة ، مجهود كبير. الأسباب المحتملة: vacuum booster failed + check valve failed + vacuum leak + booster diaphragm torn. pédale dure mauvaise assistance freinage sifflement freinage grand effort nécessaire Brake Booster Failure C0083,freinage,عالي,C0083,mixed_ar_fr_dz
50,Water Pump Failure el ma7raka 7anna maya tnzel men el qdam sout la pompe le chauffage ma ykhdemch ارتفاع الحرارة ، تسرب سائل من الأمام ، صوت طنين المضخة ، عدم عمل التدفئة. الأسباب المحتملة: impeller corroded + shaft bearing worn + water pump seal failed + belt driven pump + electric pump motor failed. surchauffe fuite liquide avant bruit pompe chauffage ne fonctionne pas Water Pump Failure P0218,refroidissement,حرج,P0218,mixed_ar_fr_dz
51,Thermostat Stuck Closed el ma7raka 7anna bi sraa el ma7raka tla3 ahoma el maya teghliy dkhane men el kapo ارتفاع سريع للحرارة ، ارتفاع مقياس الحرارة ، غليان السائل ، بخار من الغطاء. الأسباب المحتملة: thermostat stuck closed + thermostat housing warped + improper thermostat rating + coolant contaminated. surchauffe rapide jauge température monte liquide bout vapeur du capot Thermostat Stuck Closed P0128,refroidissement,عالي,P0128,mixed_ar_fr_dz
52,Thermostat Stuck Open el moteur ma ydafiach le chauffage bardouch bezaf lessance el 7arara wahda تأخر دفء المحرك ، التدفئة تعمل بالهواء البارد ، استهلاك سيء ، حرارة منخفضة. الأسباب المحتملة: thermostat stuck open + thermostat spring broken + improper thermostat installed. moteur lent à chauffer chauffage froid mauvaise consommation température basse Thermostat Stuck Open P0128,refroidissement,متوسط,P0128,mixed_ar_fr_dz
53,Coolant Leak from Hose maya ta7at tomobile el ma7raka 7anna daw el maya riha 7elwa بركة سائل تحت السيارة ، ارتفاع الحرارة ، تحذير انخفاض السائل ، رائحة حلوة. الأسباب المحتملة: radiator hose cracked + clamp loose + hose fitting corroded + freeze plug failed. flaque sous voiture surchauffe niveau liquide bas odeur sucrée Coolant Leak from Hose P0217,refroidissement,عالي,P0217,mixed_ar_fr_dz
54,Radiator Fan Failure el ma7raka 7anna ki twaqef la clim ma tbardach el ventilateur ma ydurach el ventilateur ydur tout le temps ارتفاع الحرارة عند الوقوف ، ضعف التكييف ، المروحة لا تدور ، المروحة تعمل باستمرار. الأسباب المحتملة: fan motor failed + fan relay failed + fan resistor failed + temperature switch failed + fan blade broken. surchauffe au ralenti clim mal refroidie ventilateur ne tourne pas ventilateur tourne en permanence Radiator Fan Failure P0480,refroidissement,عالي,P0480,mixed_ar_fr_dz
55,Shock Absorber Worn tomobile traqas bezaf ma tkhdemch mlih f tariq el qdam yenzal ki tferni zit ynzel men el amortisseur ارتداد مفرط للسيارة ، تعامل ضعيف ، غوص الأمام عند الفرملة ، تسرب زيت من المساعد. الأسباب المحتملة: shock absorber worn + shock seals failed + spring broken + mounting hardware loose. voiture rebondit trop mauvaise tenue de route plongée au freinage fuite huile amortisseur Shock Absorber Worn C0200,suspension,متوسط,C0200,mixed_ar_fr_dz
56,Control Arm Bushing Failure sout f el trous el kawetch ma yedmoch mlih rdua f el volant el kawetch ma ytahalouch طرق عند المطبات ، محاذاة سيئة ، تآكل غير منتظم للإطار ، اهتزاز في التوجيه. الأسباب المحتملة: rubber bushing cracked + bushing dried out + impact damage + age and mileage. cloquement sur bosses mauvais alignement usure pneu irrégulière vibration direction Control Arm Bushing Failure C0350,suspension,متوسط,C0350,mixed_ar_fr_dz
57,Coil Spring Broken tomobile 7ana sout f el trous ma tkhdemch mlih el kawetch ydoq السيارة منخفضة من جهة ، صوت طرق ، تعامل سيء ، احتكاك الإطار. الأسباب المحتملة: spring broken from corrosion + spring broken from overload + impact damage + age and fatigue. voiture basse d'un côté cloquement mauvaise tenue de route pneu frotte Coil Spring Broken C0196,suspension,عالي,C0196,mixed_ar_fr_dz
58,Tie Rod End Failure el volant ma ydirch mlih rdua f el volant el kawetch ma ytahalouch sout ki tdur تخبط التوجيه ، اهتزاز المقود ، تآكل غير متساوٍ ، طرق عند الدوران. الأسباب المحتملة: tie rod end ball worn + rubber boot torn + corrosion + impact damage. direction qui se balade vibration direction usure pneu irrégulière cloquement en virage Tie Rod End Failure C0460,suspension,حرج,C0460,mixed_ar_fr_dz
59,Anti-Roll Bar Link Failure sout f el trous tomobile tdur bezaf sout f la petite vitesse sout f el qdam wella derriere طرق عند المطبات ، مبالغة في الميل ، طرقعة بالسرعة المنخفضة ، ضوضاء. الأسباب المحتملة: link ball worn + link bushing cracked + link bent from impact. cloquement bosses roulis excessif claquement basse vitesse bruit avant/arrière Anti-Roll Bar Link Failure C0250,suspension,متوسط,C0250,mixed_ar_fr_dz
60,Steering Rack Leak zit el direction ynzel el volant thqil zit ta7at tomobile sout ki tdur تسرب سائل التوجيه ، ثقل التوجيه ، سائل تحت السيارة ، صوت طنين عند الدوران. الأسباب المحتملة: rack seals worn + inner tie rod leak + rack bellows torn + high mileage. fuite fluide direction direction lourde fluide sous voiture bruit en tournant Steering Rack Leak C0700,direction,عالي,C0700,mixed_ar_fr_dz
61,Steering Column Failure el volant rayeg sout clic ki tdur mushkila f el clé sout f el volant مقود رخو ، نقر عند الدوران ، مشكلة قفل الإشعال ، ضجيج العمود. الأسباب المحتملة: intermediate shaft worn + column bearing failed + UJ coupling worn + clock spring failed. volant qui tourne dans le vide clics en tournant blocage anti-vol bruit colonne Steering Column Failure C0750,direction,عالي,C0750,mixed_ar_fr_dz
62,Power Steering Pump Noise sout ki tdur bezaf sout f la direction zit el direction mrabba la pompe ydoq صفير عند الدوران الكامل ، أنين عند الاستدارة ، سائل رغوي ، تجويف المضخة. الأسباب المحتملة: fluid level low + fluid contaminated + pump cavitating + pump bearing worn + return line blocked. gémissement en butée grognement en virage fluide mousseux cavitation pompe Power Steering Pump Noise C0040,direction,متوسط,C0040,mixed_ar_fr_dz
63,Exhaust Manifold Crack sout ki tkoun barda rihet 7arqa khsara f el qowa control ma yn7ch طرقعة عند البرودة ، رائحة احتراق ، فقدان القدرة ، فشل اختبار الانبعاثات. الأسباب المحتملة: manifold cracked from heat + gasket failed + studs broken + metal fatigue. cliquetis au froid odeur de brûlé perte puissance contrôle technique raté Exhaust Manifold Crack P0420,échappement,متوسط,P0420,mixed_ar_fr_dz
64,Muffler Failure l'echappement ye3yat sout ta7at tomobile sout f el krash lessance ykhlas bezaf صوت عادم عالٍ ، صوت هدير ، طرقعة تحت السيارة ، زيادة استهلاك الوقود. الأسباب المحتملة: muffler corroded and holed + welded joint failed + resonator damaged + heat shield loose. bruit d'échappement fort grondement cliquetis sous la voiture conso augmentée Muffler Failure P0420,échappement,منخفض,P0420,mixed_ar_fr_dz
65,DPF Filter Blocked (Diesel) daw FAP khsara f el qowa tomobile ma tkhdemch mlih bezaf dkhane khal ضوء تحذير فلتر الجسيمات ، فقدان القدرة ، وضع الطوارئ ، دخان أسود مفرط. الأسباب المحتملة: DPF blocked from short journeys + DPF regeneration incomplete + EGR recirculating too much soot + injector leak sooting DPF. voyant FAP allumé perte puissance mode dégradé fumée noire excessive DPF Filter Blocked (Diesel) P2002,échappement,عالي,P2002,mixed_ar_fr_dz
